
time,gFx,gFy,gFz,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
0.099620,-0.1036,0.4935,0.9069,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.199287,0.1671,0.3684,0.9186,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.299235,-0.1759,0.3244,0.9127,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.399333,0.0684,0.3450,0.9010,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.499579,-0.0850,0.3244,0.9802,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.599655,0.0674,0.3948,0.8981,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.703933,0.0665,0.3606,0.9968,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.800715,0.0665,0.3928,0.9841,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.900853,0.1143,0.3371,0.9723,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.001022,-0.0596,0.2580,1.0476,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.101328,-0.0225,0.3772,0.8727,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.201428,0.0332,0.3068,0.9235,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.301159,-0.0303,0.3860,0.9704,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.402511,0.0508,0.3948,0.9587,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.504161,0.0352,0.3557,0.9215,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.603588,0.0440,0.4495,0.8238,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.715978,0.0293,0.4319,0.9547,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.803675,-0.0147,0.4202,0.9186,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.904792,0.0235,0.4310,0.9254,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.005886,-0.0117,0.4143,0.9479,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.106106,-0.0235,0.4300,0.8942,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.207046,-0.0215,0.4183,0.9088,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.308887,-0.0147,0.4134,0.9401,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.409425,-0.0205,0.4114,0.9293,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.509763,-0.0137,0.4095,0.9264,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.610179,-0.0293,0.3968,0.9323,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.710059,-0.0606,0.3782,0.9489,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.809563,-0.0342,0.3762,0.9010,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.910427,-0.0450,0.3743,0.8658,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.012399,-0.0371,0.3401,0.9391,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.112404,-0.0088,0.3225,0.9811,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.212918,0.0176,0.3254,0.9303,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.313263,0.0215,0.3059,0.9723,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.413608,0.0293,0.3049,0.9860,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
