
time,gFx,gFy,gFz,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
0.099231,0.0352,0.0068,1.0105,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.198994,0.0381,0.0059,1.0124,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.299267,0.0391,0.0127,1.0036,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.399427,0.0371,0.0088,1.0075,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.499602,0.0401,0.0107,1.0056,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.599666,0.0410,0.0205,1.0056,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.700038,0.0352,0.0137,1.0046,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.800167,0.0322,0.0156,1.0124,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.900693,0.0313,0.0137,1.0075,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.001761,0.0430,0.0088,1.0056,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.102021,0.0322,0.0088,1.0026,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.201652,0.0371,0.0088,1.0036,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.302666,0.0332,0.0068,1.0065,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.404983,0.0322,0.0107,1.0056,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.502112,0.0352,0.0078,1.0065,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.603803,0.0342,0.0059,1.0105,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.703367,0.0332,0.0098,1.0075,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.802988,0.0303,0.0078,1.0026,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.904181,0.0371,0.0137,1.0056,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.007862,0.0362,0.0107,1.0036,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.105626,0.0371,0.0068,1.0144,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.206703,0.0362,0.0098,1.0085,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.308746,0.0322,0.0098,1.0046,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.407445,0.0401,0.0098,1.0075,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.507570,0.0430,0.0078,0.9997,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.608222,0.0313,0.0107,1.0095,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.707840,0.0342,0.0127,1.0075,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.808865,0.0381,0.0117,1.0085,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.908275,0.0371,0.0117,1.0075,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.009355,0.0322,0.0088,1.0085,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.109871,0.0430,0.0147,1.0017,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.209365,0.0303,0.0098,1.0085,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.310530,0.0401,0.0117,1.0056,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.411401,0.0313,0.0127,1.0124,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.511386,0.0381,0.0117,1.0046,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.611857,0.0391,0.0098,1.0036,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
