
time,gFx,gFy,gFz,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
0.099232,-0.0420,0.2893,0.3645,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.199224,0.2199,0.2072,-0.1847,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.299298,0.5570,-0.0518,0.8238,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.399438,0.8013,0.0322,0.5580,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.499637,0.8179,-0.0635,0.5257,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.599822,1.1541,-0.2345,0.2414,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.700487,1.4551,-0.5981,0.2551,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.801504,1.2821,-0.4222,0.5297,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.902006,0.9333,-0.3401,0.1202,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.002571,0.9929,-0.1700,0.2062,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.102948,0.8893,-0.3235,0.0127,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.202813,1.4443,-0.7310,0.3059,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.304111,1.1101,-0.9635,0.1964,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.405174,0.6753,-0.4700,-0.0498,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.504858,0.4417,-0.2502,-0.0362,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.605730,0.5951,-0.5814,-0.1124,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.705647,1.0574,-0.6479,-0.0322,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.806300,1.4023,-0.7886,0.3948,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.906736,1.5000,-0.4847,0.1925,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.007143,0.6909,-0.2336,0.0713,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.107187,0.9049,-0.4661,-0.0322,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.207323,1.2010,-0.5277,0.2130,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.308344,1.2098,-0.4251,0.1661,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.408532,1.3261,-0.6645,0.2814,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
