
time,gFx,gFy,gFz,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
0.099866,0.0547,0.3196,0.7144,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.199459,0.0156,0.1749,0.0596,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.299648,0.2394,-0.2121,0.4339,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.399789,0.3801,-0.2492,0.0518,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.499607,4.5685,-2.8330,2.0619,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.599741,1.7336,-1.7932,1.9486,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.699815,0.8697,0.4036,0.1915,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.800070,0.3889,-0.0254,0.1544,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.900189,0.7573,0.2941,0.8267,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.000304,0.8101,-2.8965,-0.2081,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.100794,0.4759,-3.6773,0.2365,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.200878,-0.7583,0.3840,-0.3186,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.300921,-0.0880,-0.2111,-0.2648,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.400937,0.2687,-0.0059,0.2932,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.501398,-0.1534,-0.1700,-0.0479,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.601542,1.5528,-3.9128,-1.1004,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.702396,0.4935,-1.1013,0.5521,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.802458,0.0098,0.3538,-0.3792,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.902615,0.4231,0.0137,0.4945,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.003141,0.1671,0.0684,0.4925,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.103270,0.6284,-1.0095,0.3831,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.204499,1.2069,-3.9021,0.5531,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.304851,0.2062,0.2492,-0.1163,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.404634,0.8688,0.2922,-0.0313,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
