
time,gFx,gFy,gFz,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
0.098692,-0.0967,0.2062,0.9479,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.198499,-0.0977,0.1700,1.0720,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.298649,-0.0919,0.2375,0.9675,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.398918,-0.0616,0.2365,0.9714,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.498998,-0.0547,0.2414,0.9909,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.600851,-0.0655,0.2375,0.9929,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.700868,-0.0577,0.2443,0.9635,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.800927,-0.0684,0.2599,0.9714,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.901302,-0.0625,0.2531,0.9977,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.002465,-0.0752,0.2521,0.9723,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.102305,-0.0655,0.2355,0.9772,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.202728,-0.0537,0.2609,0.9909,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.304236,-0.0557,0.2668,0.9772,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.403629,-0.0557,0.2639,0.9547,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.504103,-0.0762,0.2619,0.9880,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.604291,-0.0665,0.2795,0.9792,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.705108,-0.0850,0.2668,0.9675,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.804189,-0.0743,0.2687,0.9587,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.905477,-0.0772,0.2805,0.9684,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.005714,-0.0840,0.2609,0.9675,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.105629,-0.0752,0.2668,0.9587,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.206373,-0.0870,0.2707,0.9401,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.306747,-0.0713,0.2560,0.9968,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.406721,-0.0665,0.2619,0.9919,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.507188,-0.0655,0.2717,0.9675,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.607060,-0.0674,0.2619,0.9547,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.706873,-0.0665,0.2658,1.0007,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.807287,-0.0557,0.2590,1.0026,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.907321,-0.0958,0.2619,0.9880,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.008413,-0.0655,0.2707,0.9567,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.108731,-0.0811,0.2648,0.9645,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.209284,-0.0850,0.2599,0.9977,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.310147,-0.0909,0.2580,0.9792,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.410468,-0.0889,0.2726,0.9411,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.510907,-0.0801,0.2687,0.9899,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.611111,-0.0733,0.2697,0.9977,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.713390,-0.0850,0.2668,0.9733,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.817656,-0.0899,0.2746,0.9469,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.911720,-0.0850,0.2726,0.9655,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.013045,-0.0674,0.2824,0.9782,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.113928,-0.0762,0.2785,0.9655,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.213539,-0.0606,0.2873,0.9499,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.314056,-0.0723,0.2814,1.0007,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.414451,-0.0792,0.2853,0.9675,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
