
time,gFx,gFy,gFz,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
0.254631,0.1222,0.1515,0.9372,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.264478,0.1231,0.1515,0.9587,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.299228,0.1691,0.1554,0.9714,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.398661,0.1134,0.1388,0.9929,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.498765,0.0831,0.1388,0.9577,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.599446,0.1173,0.1378,0.9821,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.701482,0.0928,0.1593,0.9596,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.802360,0.1114,0.1700,0.9997,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.902725,0.1163,0.1456,0.9890,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.002543,0.1065,0.1407,0.9890,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.103581,0.1182,0.1603,0.9909,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.203279,0.0948,0.1564,0.9997,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.303820,0.0811,0.1544,0.9880,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.403943,0.1026,0.1564,0.9899,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.504047,0.1300,0.1661,0.9762,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.604362,0.1163,0.1515,1.0036,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.707209,0.0870,0.1612,0.9528,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.805100,0.1251,0.1505,1.0359,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.905189,0.0762,0.1603,0.9948,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.005670,0.0860,0.1661,0.9753,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.105868,0.0821,0.1739,0.9919,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.206060,0.0997,0.1661,0.9860,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.306247,0.1036,0.1788,0.9792,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.407432,0.0919,0.1867,0.9616,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.507875,0.0938,0.1700,1.0046,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.608503,0.0694,0.1515,0.9919,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.708197,0.0928,0.1720,0.9743,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.808433,0.0880,0.1622,1.0153,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.908467,0.0948,0.1593,1.0163,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.008741,0.0762,0.1466,1.0202,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.109228,0.0850,0.1593,0.9929,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.209524,0.0704,0.1593,0.9792,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.310157,0.1094,0.1573,0.9870,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.410844,0.1065,0.1632,0.9977,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.511219,0.0850,0.1593,0.9762,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.611057,0.0948,0.1495,1.0007,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.710870,0.0782,0.1505,1.0046,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.812342,0.0782,0.1456,1.0173,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.911336,0.0870,0.1524,0.9772,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.011479,0.0831,0.1524,0.9665,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.111632,0.0958,0.1456,0.9987,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.211847,0.0958,0.1544,1.0017,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.312245,0.0870,0.1564,1.0134,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.412385,0.1046,0.1495,0.9850,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.512589,0.0889,0.1515,1.0046,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.614233,0.0762,0.1603,0.9938,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.713235,0.0919,0.1622,1.0056,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.813465,0.0068,0.1231,1.0798,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.913638,0.0674,0.1202,1.1815,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.013930,-0.0059,0.2687,0.7016,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.114453,0.1094,0.1134,0.9753,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.215235,0.2042,0.0616,1.0515,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.315176,0.2003,0.1114,0.9059,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
