
time,gFx,gFy,gFz,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
0.099318,0.0274,0.0137,1.0017,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.199289,0.0313,0.0088,1.0065,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.299430,0.0322,0.0127,1.0046,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.399580,0.0264,0.0107,1.0056,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.499738,0.0352,0.0117,1.0017,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.600131,0.0313,0.0098,1.0007,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.699923,0.0342,0.0098,1.0065,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.800006,0.0352,0.0107,1.0075,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.900209,0.0274,0.0117,1.0124,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.000389,0.0313,0.0156,1.0075,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.100412,0.0303,0.0127,1.0036,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.202257,0.0391,0.0107,1.0095,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.303940,0.0293,0.0117,1.0017,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.404067,0.0303,0.0098,1.0046,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.504352,0.0352,0.0088,1.0105,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.603830,0.0332,0.0088,1.0046,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.704616,0.0371,0.0127,1.0065,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.804571,0.0313,0.0107,1.0056,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.905412,0.0313,0.0088,1.0075,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.005460,0.0254,0.0059,1.0017,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.105593,0.0274,0.0147,1.0144,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.207674,0.0362,0.0137,1.0105,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.307672,0.0362,0.0107,1.0036,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.407755,0.0283,0.0078,1.0085,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.508988,0.0264,0.0020,1.0036,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.607989,0.0381,0.0059,1.0026,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.708330,0.0352,0.0059,1.0046,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.809680,0.0352,0.0127,1.0085,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.909330,0.0371,0.0176,1.0105,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.010088,0.0293,0.0107,1.0046,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.111061,0.0322,0.0195,1.0134,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.210412,0.0322,0.0137,1.0134,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.311010,0.0313,0.0098,1.0114,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
