
time,gFx,gFy,gFz,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
0.099823,0.1261,0.3381,0.2003,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.199260,-0.6508,0.7036,0.7935,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.299705,0.8404,-0.3029,0.1681,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.399660,1.0300,-0.6166,0.4349,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.500070,1.2645,-0.8228,0.3196,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.600190,1.3241,-0.6938,0.2805,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.700771,1.2333,-0.4124,0.6499,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.800444,1.0652,-0.2814,0.3352,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.901262,1.0046,-0.3762,0.2853,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.001925,1.1375,-0.6411,0.4329,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.102154,1.0779,-0.5707,0.3919,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.201787,0.8531,-0.6743,0.2697,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.302527,0.6929,-0.5746,0.2678,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.402610,0.4935,-0.5101,0.2433,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.502942,0.5932,-0.5238,0.1593,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.604006,1.0603,-0.7906,0.2463,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.704986,0.8375,-0.5355,-0.0147,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.804611,0.8003,-0.4564,0.1437,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.905240,0.5687,-0.3792,0.1427,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.005195,0.8101,-0.5277,0.0577,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.105327,0.9606,-0.5756,0.4153,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.206098,1.1092,-0.7759,0.1358,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.305942,1.2421,-0.9362,-0.1026,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.406576,1.0378,-0.7828,0.4388,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.507197,0.6450,-0.6665,0.4906,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.607396,0.5209,-0.7466,0.1837,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.708740,0.5824,-0.6577,0.1456,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.808198,0.5531,-0.5814,0.0283,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.909006,0.7691,-0.9841,0.0362,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.012790,1.0534,-0.9362,0.1691,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.109760,1.0124,-0.6958,-0.0665,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.209980,0.6655,-0.5443,0.1397,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.312988,0.6596,-0.5228,0.2160,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.410067,0.7603,-0.5570,-0.0293,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.510842,0.8013,-0.6372,-0.0293,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.616325,0.7427,-0.7749,0.0586,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.711657,1.0280,-0.8893,0.2013,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.812472,0.8179,-0.5629,0.1720,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.915391,0.7613,-0.4173,0.1007,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.013338,0.6792,-0.4925,0.1779,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.113994,0.6215,-0.5834,0.0459,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.215968,0.6039,-0.5902,0.1075,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.314063,0.7857,-0.6567,0.0635,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.413624,0.9186,-0.8775,0.2179,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.513803,0.7359,-0.7779,0.0919,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.614008,0.8863,-0.5414,0.2648,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.715055,0.8023,-0.6352,-0.0332,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.816234,0.6137,-0.6176,-0.0147,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.915972,0.7486,-0.6450,0.1046,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.017632,0.8306,-0.6215,0.0684,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.121253,1.1512,-0.9860,0.0880,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.217949,0.7349,-0.6362,0.2863,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
